Input,Output,Time
0.478,150,0.672
0.478,150,0.673
0.478,150,0.674
0.478,150,0.675
0.478,150,0.676
0.478,150,0.677
0.478,150,0.678
0.478,150,0.679
0.478,150,0.68
0.478,150,0.681
0.478,150,0.682
0.478,150,0.683
0.478,150,0.684
0.478,150,0.685
0.478,150,0.686
0.478,150,0.687
0.478,150,0.688
0.478,150,0.689
0.478,150,0.69
0.478,150,0.691
0.478,150,0.692
0.478,150,0.693
0.478,150,0.694
0.478,150,0.695
0.478,150,0.696
0.478,150,0.697
0.478,150,0.698
0.478,150,0.699
0.478,150,0.7
0.478,150,0.701
0.478,150,0.702
0.478,150,0.703
0.478,150,0.704
0.478,150,0.705
0.478,150,0.706
0.478,150,0.707
0.478,150,0.708
0.478,150,0.709
0.478,150,0.71
0.478,150,0.711
0.478,150,0.712
0.478,150,0.713
0.478,150,0.714
0.478,150,0.715
0.478,150,0.716
0.478,150,0.717
0.478,150,0.718
0.478,150,0.719
0.478,150,0.72
0.478,150,0.721
0.478,150,0.722
0.478,150,0.723
0.478,150,0.724
0.478,150,0.725
0.478,150,0.726
0.478,150,0.727
0.478,150,0.728
0.478,150,0.729
0.478,150,0.73
0.478,150,0.731
0.478,150,0.732
0.478,150,0.733
0.478,150,0.734
0.478,150,0.735
0.478,150,0.736
0.478,150,0.737
0.478,150,0.738
0.478,150,0.739
0.478,150,0.74
0.478,150,0.741
0.478,150,0.742
0.478,150,0.743
0.478,150,0.744
0.478,150,0.745
0.478,150,0.746
0.478,150,0.747
0.478,150,0.748
0.478,150,0.749
0.478,150,0.75
0.478,150,0.751
0.478,150,0.752
0.478,150,0.753
0.478,150,0.754
0.478,150,0.755
0.478,150,0.756
0.478,150,0.757
0.478,150,0.758
0.478,150,0.759
0.478,150,0.76
0.478,150,0.761
0.478,150,0.762
0.478,150,0.763
0.478,150,0.764
0.478,150,0.765
0.478,150,0.766
0.478,150,0.767
0.478,150,0.768
0.478,150,0.769
0.478,150,0.77
0.478,150,0.771
0.478,150,0.772
0.478,150,0.773
0.478,150,0.774
0.478,150,0.775
0.478,150,0.776
0.478,150,0.777
0.478,150,0.778
0.478,150,0.779
0.478,150,0.78
0.478,150,0.781
0.478,150,0.782
0.478,150,0.783
0.478,150,0.784
0.478,150,0.785
0.478,150,0.786
0.478,150,0.787
0.478,150,0.788
0.478,150,0.789
0.478,150,0.79
0.478,150,0.791
0.478,150,0.792
0.478,150,0.793
0.478,150,0.794
0.478,150,0.795
0.478,150,0.796
0.478,150,0.797
0.478,150,0.798
0.478,150,0.799
0.478,150,0.8
0.478,150,0.801
0.478,150,0.802
0.478,150,0.803
0.478,150,0.804
0.478,150,0.805
0.478,150,0.806
0.478,150,0.807
0.478,150,0.808
0.478,150,0.809
0.478,150,0.81
0.478,150,0.811
0.478,150,0.812
0.478,150,0.813
0.478,150,0.814
0.478,150,0.815
0.478,150,0.816
0.478,150,0.817
0.478,150,0.818
0.478,150,0.819
0.478,150,0.82
0.478,150,0.821
0.478,150,0.822
0.478,150,0.823
0.478,150,0.824
0.478,150,0.825
0.478,150,0.826
0.478,150,0.827
0.478,150,0.828
0.478,150,0.829
0.478,150,0.83
0.478,150,0.831
0.478,150,0.832
0.478,150,0.833
0.478,150,0.834
0.478,150,0.835
0.478,150,0.836
0.478,150,0.837
0.478,150,0.838
0.478,150,0.839
0.478,150,0.84
0.478,150,0.841
0.478,150,0.842
0.478,150,0.843
0.478,150,0.844
0.478,150,0.845
0.478,150,0.846
0.478,150,0.847
0.478,150,0.848
0.478,150,0.849
0.478,150,0.85
0.478,150,0.851
0.478,150,0.852
0.478,150,0.853
0.478,150,0.854
0.478,150,0.855
0.478,150,0.856
0.478,150,0.857
0.478,150,0.858
0.478,150,0.859
0.478,150,0.86
0.478,150,0.861
0.478,150,0.862
0.478,150,0.863
0.478,150,0.864
0.478,150,0.865
0.478,150,0.866
0.478,150,0.867
0.478,150,0.868
0.478,150,0.869
0.478,150,0.87
0.478,150,0.871
0.478,150,0.872
0.478,150,0.873
0.478,150,0.874
0.478,150,0.875
0.478,150,0.876
0.478,150,0.877
0.478,150,0.878
0.478,150,0.879
0.478,150,0.88
0.478,150,0.881
0.478,150,0.882
0.478,150,0.883
0.478,150,0.884
0.478,150,0.885
0.478,150,0.886
0.478,150,0.887
0.478,150,0.888
0.478,150,0.889
0.478,150,0.89
0.478,150,0.891
0.478,150,0.892
0.478,150,0.893
0.478,150,0.894
0.478,150,0.895
0.478,150,0.896
0.478,150,0.897
0.478,150,0.898
0.478,150,0.899
0.478,150,0.9
0.478,150,0.901
0.478,150,0.902
0.478,150,0.903
0.478,150,0.904
0.478,150,0.905
0.478,150,0.906
0.478,150,0.907
0.478,150,0.908
0.478,150,0.909
0.478,150,0.91
0.478,150,0.911
0.478,150,0.912
0.478,150,0.913
0.478,150,0.914
0.478,150,0.915
0.478,150,0.916
0.478,150,0.917
0.478,150,0.918
0.478,150,0.919
0.478,150,0.92
0.478,150,0.921
0.478,150,0.922
0.478,150,0.923
0.478,150,0.924
0.478,150,0.925
0.478,150,0.926
0.478,150,0.927
0.478,150,0.928
0.478,150,0.929
0.478,150,0.93
0.478,150,0.931
0.478,150,0.932
0.478,150,0.933
0.478,150,0.934
0.478,150,0.935
0.478,150,0.936
0.478,150,0.937
0.478,150,0.938
0.478,150,0.939
0.478,150,0.94
0.478,150,0.941
0.478,150,0.942
0.478,150,0.943
0.478,150,0.944
0.478,150,0.945
0.478,150,0.946
0.478,150,0.947
0.478,150,0.948
0.478,150,0.949
0.478,150,0.95
0.478,150,0.951
0.478,150,0.952
0.478,150,0.953
0.478,150,0.954
0.478,150,0.955
0.478,150,0.956
0.478,150,0.957
0.478,150,0.958
0.478,150,0.959
0.478,150,0.96
0.478,150,0.961
0.478,150,0.962
0.478,150,0.963
0.478,150,0.964
0.478,150,0.965
0.478,150,0.966
0.478,150,0.967
0.478,150,0.968
0.478,150,0.969
0.478,150,0.97
0.478,150,0.971
0.478,150,0.972
0.478,150,0.973
0.478,150,0.974
0.478,150,0.975
0.478,150,0.976
0.478,150,0.977
0.478,150,0.978
0.478,150,0.979
0.478,150,0.98
0.478,150,0.981
0.478,150,0.982
0.478,150,0.983
0.478,150,0.984
0.478,150,0.985
0.478,150,0.986
0.478,150,0.987
0.478,150,0.988
0.478,150,0.989
0.478,150,0.99
0.478,150,0.991
0.478,150,0.992
0.478,150,0.993
0.478,150,0.994
0.478,150,0.995
0.478,150,0.996
0.478,150,0.997
0.478,150,0.998
0.478,150,0.999
0.478,150,1
0.478,150,1.001
0.478,150,1.002
0.478,150,1.003
0.478,150,1.004
0.478,150,1.005
0.478,150,1.006
0.478,150,1.007
0.478,150,1.008
0.478,150,1.009
0.478,150,1.01
0.478,150,1.011
0.478,150,1.012
0.478,150,1.013
0.478,150,1.014
0.478,150,1.015
0.478,150,1.016
0.478,150,1.017
0.478,150,1.018
0.478,150,1.019
0.478,150,1.02
0.478,150,1.021
0.478,150,1.022
0.478,150,1.023
0.478,150,1.024
0.478,150,1.025
0.478,150,1.026
0.478,150,1.027
0.478,150,1.028
0.478,150,1.029
0.478,150,1.03
0.478,150,1.031
0.478,150,1.032
0.478,150,1.033
0.478,150,1.034
0.478,150,1.035
0.478,150,1.036
0.478,150,1.037
0.478,150,1.038
0.478,150,1.039
0.478,150,1.04
0.478,150,1.041
0.478,150,1.042
0.478,150,1.043
0.478,150,1.044
0.478,150,1.045
0.478,150,1.046
0.478,150,1.047
0.478,150,1.048
0.478,150,1.049
0.478,150,1.05
0.478,150,1.051
0.478,150,1.052
0.478,150,1.053
0.478,150,1.054
0.478,150,1.055
0.478,150,1.056
0.478,150,1.057
0.478,150,1.058
0.478,150,1.059
0.478,150,1.06
0.478,150,1.061
0.478,150,1.062
0.478,150,1.063
0.478,150,1.064
0.478,150,1.065
0.478,150,1.066
0.478,150,1.067
0.478,150,1.068
0.478,150,1.069
0.478,150,1.07
0.478,150,1.071
0.478,150,1.072
0.478,150,1.073
0.478,150,1.074
0.478,150,1.075
0.478,150,1.076
0.478,150,1.077
0.478,150,1.078
0.478,150,1.079
0.478,150,1.08
0.478,150,1.081
0.478,150,1.082
0.478,150,1.083
0.478,150,1.084
0.478,150,1.085
0.478,150,1.086
0.478,150,1.087
0.478,150,1.088
0.478,150,1.089
0.478,150,1.09
0.478,150,1.091
0.478,150,1.092
0.478,150,1.093
0.478,150,1.094
0.478,150,1.095
0.478,150,1.096
0.478,150,1.097
0.478,150,1.098
0.478,150,1.099
0.478,150,1.1
0.478,150,1.101
0.478,150,1.102
0.478,150,1.103
0.478,150,1.104
0.478,150,1.105
0.478,150,1.106
0.478,150,1.107
0.478,150,1.108
0.478,150,1.109
0.478,150,1.11
0.478,150,1.111
0.478,150,1.112
0.478,150,1.113
0.478,150,1.114
0.478,150,1.115
0.478,150,1.116
0.478,150,1.117
0.478,150,1.118
0.478,150,1.119
0.478,150,1.12
0.478,150,1.121
0.478,150,1.122
0.478,150,1.123
0.478,150,1.124
0.478,150,1.125
0.478,150,1.126
0.478,150,1.127
0.478,150,1.128
0.478,150,1.129
0.478,150,1.13
0.478,150,1.131
0.478,150,1.132
0.478,150,1.133
0.478,150,1.134
0.478,150,1.135
0.478,150,1.136
0.478,150,1.137
0.478,150,1.138
0.478,150,1.139
0.478,150,1.14
0.478,150,1.141
0.478,150,1.142
0.478,150,1.143
0.478,150,1.144
0.478,150,1.145
0.478,150,1.146
0.478,150,1.147
0.478,150,1.148
0.478,150,1.149
0.478,150,1.15
0.478,150,1.151
0.478,150,1.152
0.478,150,1.153
0.478,150,1.154
0.478,150,1.155
0.478,150,1.156
0.478,150,1.157
0.478,150,1.158
0.478,150,1.159
0.478,150,1.16
0.478,150,1.161
0.478,150,1.162
0.478,150,1.163
0.478,150,1.164
0.478,150,1.165
0.478,150,1.166
0.478,150,1.167
0.478,150,1.168
0.478,150,1.169
0.478,150,1.17
0.478,150,1.171
0.478,150,1.172
0.478,150,1.173
0.478,150,1.174
0.478,150,1.175
0.478,150,1.176
0.478,150,1.177
0.478,150,1.178
0.478,150,1.179
0.478,150,1.18
0.478,150,1.181
0.478,150,1.182
0.478,150,1.183
0.478,150,1.184
0.478,150,1.185
0.478,150,1.186
0.478,150,1.187
0.478,150,1.188
0.478,150,1.189
0.478,150,1.19
0.478,150,1.191
0.478,150,1.192
0.478,150,1.193
0.478,150,1.194
0.478,150,1.195
0.478,150,1.196
0.478,150,1.197
0.478,150,1.198
0.478,150,1.199
0.478,150,1.2
0.478,150,1.201
0.478,150,1.202
0.478,150,1.203
0.478,150,1.204
0.478,150,1.205
0.478,150,1.206
0.478,150,1.207
0.478,150,1.208
0.478,150,1.209
0.478,150,1.21
0.478,150,1.211
0.478,150,1.212
0.478,150,1.213
0.478,150,1.214
0.478,150,1.215
0.478,150,1.216
0.478,150,1.217
0.478,150,1.218
