Input,Output,Time
0.4302,150.020494390065,3.79
0.4302,150.024575056072,3.8
0.4302,150.028956700052,3.81
0.4302,150.03367967672,3.82
0.4302,150.038707066959,3.83
0.4302,150.04404004472,3.84
0.4302,150.049668378332,3.85
0.4302,150.055582913654,3.86
0.4302,150.061774677478,3.87
0.4302,150.068237950152,3.88
0.4302,150.074962466873,3.89
0.4302,150.081944807894,3.9
0.4302,150.089170356783,3.91
0.4302,150.096645678953,3.92
0.4302,150.104344823681,3.93
0.4302,150.112273076712,3.94
0.4302,150.120417381287,3.95
0.4302,150.12877660577,3.96
0.4302,150.137339327637,3.97
0.4302,150.146103446117,3.98
0.4302,150.155058980286,3.99
0.4302,150.164203025318,4
0.4302,150.17352686915,4.01
0.4302,150.183026949003,4.02
0.4302,150.19269566693,4.03
0.4302,150.202528931213,4.04
0.4302,150.212520119541,4.05
0.4302,150.222664724899,4.06
0.4302,150.232956976815,4.07
0.4302,150.243392511273,4.08
0.4302,150.253966441722,4.09
0.4302,150.264673287587,4.1
0.4302,150.275507910989,4.11
0.4302,150.286466234212,4.12
0.4302,150.297542992281,4.13
0.4302,150.30873462987,4.14
0.4302,150.320035818135,4.15
0.4302,150.331443449316,4.16
0.4302,150.342952185347,4.17
0.4302,150.354559299641,4.18
0.4302,150.366259491906,4.19
0.4302,150.378050357911,4.2
0.4302,150.389926675307,4.21
0.4302,150.401886310213,4.22
0.4302,150.413924152311,4.23
0.4302,150.426038292186,4.24
0.4302,150.438223760234,4.25
0.4302,150.450478831101,4.26
0.4302,150.462798699794,4.27
0.4302,150.475181789527,4.28
0.4302,150.487623479564,4.29
0.4302,150.500122310608,4.3
0.4302,150.512673862068,4.31
0.4302,150.525276764989,4.32
0.4302,150.537926811508,4.33
0.4302,150.550622699384,4.34
0.4302,150.563360443157,4.35
0.4302,150.57613878681,4.36
0.4302,150.588953974402,4.37
0.4302,150.601804778456,4.38
0.4302,150.614687677433,4.39
0.4302,150.627601457205,4.4
0.4302,150.64054283357,4.41
0.4302,150.653510592773,4.42
0.4302,150.666501689197,4.43
0.4302,150.679514898452,4.44
0.4302,150.692547413291,4.45
0.4302,150.705597989432,4.46
0.4302,150.718664056523,4.47
0.4302,150.731744342672,4.48
0.4302,150.74483651188,4.49
0.4302,150.757939258293,4.5
0.4302,150.771050476804,4.51
0.4302,150.78416882245,4.52
0.4302,150.79729241679,4.53
0.4302,150.81041987166,4.54
0.4302,150.823549534513,4.55
0.4302,150.83667995854,4.56
0.4302,150.849809693005,4.57
0.4302,150.862937318915,4.58
0.4302,150.876061461669,4.59
0.4302,150.889180840273,4.6
0.4302,150.90229404665,4.61
0.4302,150.915400030781,4.62
0.4302,150.92849726035,4.63
0.4302,150.941584943694,4.64
0.4302,150.954661493088,4.65
0.4302,150.967726276701,4.66
0.4302,150.980777685953,4.67
0.4302,150.993815236664,4.68
0.4302,151.006837304801,4.69
0.4302,151.019843542616,4.7
0.4302,151.032832399181,4.71
0.4302,151.045802800183,4.72
0.4302,151.0587546323,4.73
0.4302,151.071686863254,4.74
0.4302,151.084598141393,4.75
0.4302,151.097488118559,4.76
0.4302,151.110355766413,4.77
0.4302,151.123200617861,4.78
0.4302,151.136021031005,4.79
0.4302,151.148817232277,4.8
0.4302,151.161588329889,4.81
0.4302,151.174333405268,4.82
0.4302,151.187052051514,4.83
0.4302,151.199743384773,4.84
0.4302,151.212407049122,4.85
0.4302,151.225042194245,4.86
0.4302,151.237648512184,4.87
0.4302,151.250225184989,4.88
0.4302,151.262771949836,4.89
0.4302,151.275288019982,4.9
0.4302,151.287773175066,4.91
0.4302,151.300226658419,4.92
0.4302,151.312648289628,4.93
0.4302,151.325037340979,4.94
0.4302,151.337393669641,4.95
0.4302,151.34971657576,4.96
0.4302,151.362005951856,4.97
0.4302,151.374261124866,4.98
0.4302,151.386482020557,4.99
0.4302,151.398667991617,5
0.4302,151.410818995073,5.01
0.4302,151.422934408349,5.02
0.4302,151.435014217861,5.03
0.4302,151.447057824785,5.04
0.4302,151.459065243161,5.05
0.4302,151.471035896957,5.06
0.4302,151.482969826169,5.07
0.4302,151.494866476635,5.08
0.4302,151.506725912731,5.09
0.4302,151.518547601267,5.1
0.4302,151.530331629514,5.11
0.4302,151.542077484386,5.12
0.4302,151.553785274645,5.13
0.4302,151.565454506475,5.14
0.4302,151.577085308799,5.15
0.4302,151.588677206265,5.16
0.4302,151.600230346704,5.17
0.4302,151.611744272447,5.18
0.4302,151.623219149052,5.19
0.4302,151.634654535784,5.2
0.4302,151.646050614804,5.21
0.4302,151.657406961594,5.22
0.4302,151.668723773856,5.23
0.4302,151.680000642597,5.24
0.4302,151.69123778006,5.25
0.4302,151.70243479211,5.26
0.4302,151.713591904582,5.27
0.4302,151.724708737562,5.28
0.4302,151.735785529581,5.29
0.4302,151.746821914331,5.3
0.4302,151.757818142191,5.31
0.4302,151.768773859872,5.32
0.4302,151.7796893288,5.33
0.4302,151.790564208138,5.34
0.4302,151.801398769599,5.35
0.4302,151.812192684262,5.36
0.4302,151.822946233407,5.37
0.4302,151.83365909951,5.38
0.4302,151.844331572739,5.39
0.4302,151.854963346472,5.4
0.4302,151.865554719121,5.41
